OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,REPORT_AC,GIS_ACRES,OBJECTIVE,SHAPEAREA,SHAPELEN
39715,2014,CA,CDF,MEU,LODGE,007202,2014/07/30 00:00:00+00,2014/09/18 00:00:00+00,12536,12533.18359375,1,85991479.3372626,55614.8864146775
39724,2014,CA,CDF,SHU,BULLY,006248,2014/07/11 00:00:00+00,2014/07/23 00:00:00+00,12661,12658.74121094,1,88582432.4758681,63464.925271903
39729,2014,OR,OTH,,OREGON GULCH,005589,2014/07/30 00:00:00+00,2014/08/13 00:00:00+00,35105.2137,35111.24609375,1,257701300.496301,91648.0944083473
39741,2014,CA,CDF,LNU,MONTICELLO,005465,2014/07/04 00:00:00+00,2014/07/12 00:00:00+00,,6599.38720703,1,43715292.8076699,38280.8592279254
39756,2014,CA,USF,ENF,KING,023461,2014/09/13 00:00:00+00,2014/10/10 00:00:00+00,97717,97684.546875,1,653652229.560991,364390.076349643
39762,2014,CA,USF,LNF,BALD,003479,2014/07/30 00:00:00+00,2014/08/15 00:00:00+00,39751,39752.1953125,1,281617429.871826,115427.877715454
39763,2014,CA,USF,LNF,EILER,003502,2014/07/31 00:00:00+00,2014/08/24 00:00:00+00,47958,31995.21875,1,226121888.76142,131216.749269513
39779,2014,CA,USF,SHF,COFFEE,002410,2014/07/29 00:00:00+00,2014/10/30 00:00:00+00,6251,6181.77294922,1,44165985.4251227,35542.7194352617
39785,2014,CA,USF,SNF,FRENCH,001619,2014/07/27 00:00:00+00,2014/08/18 00:00:00+00,13837,13831.63867188,1,88612906.6811472,74291.2012158218
39793,2014,CA,USF,KNF,LITTLE DEER,005575,2014/07/30 00:00:00+00,2014/08/12 00:00:00+00,5498,5499.70654297,1,39923459.0470931,33708.9211864479
39794,2014,CA,USF,KNF,BEAVER,005497,2014/07/30 00:00:00+00,2014/10/08 00:00:00+00,32496,32493.39648438,1,237442299.520538,184785.729757607
39797,2014,CA,USF,KNF,WHITES,005511,2014/07/30 00:00:00+00,2014/09/25 00:00:00+00,33758,33794.4375,1,242634135.680769,175595.08050638
39803,2014,CA,USF,KNF,FRYING PAN,006008,2014/08/11 00:00:00+00,2014/09/30 00:00:00+00,133284.2,133177.375,1,967551675.533853,402078.275737088
39813,2014,NV,BLM,NOD,COLEMAN,002798,2014/07/01 00:00:00+00,2014/08/22 00:00:00+00,15233,15242.86816406,1,111340659.181287,102552.256518997
39820,2014,CA,DOD,MCP,TOMAHAWK- BASILONE COMPLEX,001363,2014/05/19 00:00:00+00,,,5365.31103516,1,31204574.8307538,41742.2643246708
39821,2014,CA,DOD,MCP,PULGAS-BASILONE COMPLEX,001363,2014/05/19 00:00:00+00,,,15186.14257813,1,88248215.8634951,68247.476255115
40373,2010,CA,NPS,KNP,SHEEP COMPLEX,00000039,2010/07/17 00:00:00+00,2010/10/25 00:00:00+00,9020,9021.52246094,2,57024667.6718549,63649.1933930199
40570,2012,CA,NPS,LNP,READING,00003115,2012/07/23 00:00:00+00,2012/11/13 00:00:00+00,,28073.203125,1,197002140.422229,86000.4949438773
40705,2015,CA,CDF,AEU,BUTTE,024918,2015/09/10 00:00:00+00,2015/09/28 00:00:00+00,70868,70846.53125,1,465799219.25616,196390.617654769
40708,2015,CA,CDF,BDU,ROUND,001662,2015/02/07 00:00:00+00,2015/02/09 00:00:00+00,7000,6537.51855469,1,42097390.0654625,36854.3661173304
40735,2015,CA,CDF,LNU,JERUSALEM ,007410,2015/08/09 00:00:00+00,2015/08/24 00:00:00+00,25118,25118.37695313,1,167772667.876486,95724.1422850729
40737,2015,CA,CDF,LNU,WRAGG ,006678,2015/07/22 00:00:00+00,2015/08/05 00:00:00+00,8051,8049.33447266,1,53246628.0274337,47191.7261068804
40738,2015,CA,CDF,LNU,ROCKY  ,006984,2015/07/29 00:00:00+00,2015/08/14 00:00:00+00,69636,69438.1640625,1,465224922.409761,173880.70063069
40760,2015,CA,CDF,LNU,VALLEY ,008670,2015/09/12 00:00:00+00,2015/10/06 00:00:00+00,,76084.8359375,1,507512244.454611,308444.169862205
40814,2015,CA,BLM,NOD,DODGE,003806,2015/08/03 00:00:00+00,2015/08/17 00:00:00+00,10570,10517.51660156,1,74691267.3535255,88223.2033657421
40851,2015,CA,USF,HTF,WASHINGTON,030251,2015/07/19 00:00:00+00,2015/01/01 00:00:00+00,,17779.5390625,1,118123207.687336,122944.028373336
40874,2015,CA,USF,BDF,LAKE,007894,2015/06/17 00:00:00+00,2015/12/31 00:00:00+00,51000,31284.44140625,1,185293114.527639,158620.292250028
40882,2015,CA,USF,SNF,ROUGH,001746,2015/07/31 00:00:00+00,2015/11/06 00:00:00+00,151623,151546.8125,1,959357207.187061,400638.393894751
40898,2015,CA,USF,SRF,NICKOWITZ,001470,2015/08/01 00:00:00+00,2015/11/02 00:00:00+00,7570,7576.04541016,1,54625121.7218641,69756.9913910872
40899,2015,CA,USF,SRF,BEAR,001488,2015/07/31 00:00:00+00,2015/10/31 00:00:00+00,11609,11616.88085938,1,84763295.6826956,82475.4035249793
40900,2015,CA,USF,SRF,COON,001488,2015/08/01 00:00:00+00,2015/10/31 00:00:00+00,5679,5682.62695313,1,41361446.3129405,42684.3009136011
40903,2015,CA,USF,SRF,PEAK,001488,2015/08/01 00:00:00+00,2015/10/31 00:00:00+00,11516,11524.46484375,1,83446165.3238795,118811.643330565
40904,2015,CA,USF,SRF,GROVES,002066,2015/07/30 00:00:00+00,2015/10/30 00:00:00+00,6797.8,6803.03076172,1,48331210.5301559,70132.6287875865
40906,2015,CA,USF,SRF,PICKETT,001433,2015/07/30 00:00:00+00,2015/09/01 00:00:00+00,11004.3,11012.80273438,1,76839598.9473301,59672.0608056779
40907,2015,CA,USF,SRF,GOBBLER,001433,2015/07/30 00:00:00+00,2015/09/01 00:00:00+00,8298.7,8305.01855469,1,57921393.3578864,48021.3572090991
40908,2015,CA,USF,SRF,LASSICS,001433,2015/07/30 00:00:00+00,2015/09/06 00:00:00+00,18178.4,18192.03320313,1,126802166.595997,78069.7639655642
40912,2015,CA,USF,SRF,BLAKE,001476,2015/07/30 00:00:00+00,,11431,11439.25195313,1,80471630.5572639,72904.7978026733
40914,2015,CA,USF,SQF,CABIN SEQ,002313,2015/07/19 00:00:00+00,2015/11/23 00:00:00+00,6960,6996.18603516,1,43633457.3232245,62918.3825406365
40929,2015,CA,USF,SHF,RAIL,002067,2015/07/30 00:00:00+00,2015/10/30 00:00:00+00,8669,8669.77148438,1,60734381.1684824,59841.0672065851
40931,2015,CA,USF,SHF,PEAK SHA,002067,2015/07/30 00:00:00+00,2015/10/30 00:00:00+00,6269,6273.94921875,1,43953657.784327,32308.1875015782
40932,2015,CA,USF,SHF,SHEILL,002067,2015/07/30 00:00:00+00,2015/10/30 00:00:00+00,15378,15390.6484375,1,107677333.195348,77057.4921830286
40935,2015,CA,USF,SHF,HAPPY,002066,2015/07/30 00:00:00+00,2015/08/08 00:00:00+00,1800,68095.2421875,1,483017056.935063,286588.99218332
40940,2015,CA,USF,SHF,JOHNSON,001476,2015/07/30 00:00:00+00,2015/10/30 00:00:00+00,34006,17821.10742188,1,125135015.924882,138905.624513123
40943,2015,CA,USF,SHF,PATTISON,002108,2015/07/30 00:00:00+00,2015/08/18 00:00:00+00,13698,12916.57226563,1,90937981.0014341,95766.2664802495
40944,2015,CA,USF,SHF,CASTLE,002108,2015/06/23 00:00:00+00,2015/06/23 00:00:00+00,0.8,14253.95117188,1,100435993.238494,75124.5483260711
41099,2016,CA,CDF,LNU,COLD,007135,2016/08/02 00:00:00+00,2016/08/09 00:00:00+00,5731,5730.07470703,1,37952065.4153833,43778.6274941869
