,date,columns,crs
188,2006-02-11 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
189,2006-02-12 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
190,2006-02-13 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
191,2006-02-14 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
192,2006-02-15 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
193,2006-02-16 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
194,2006-02-17 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
195,2006-02-18 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
196,2006-02-19 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
197,2006-02-20 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
198,2006-02-21 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
199,2006-02-22 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
200,2006-02-23 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
201,2006-02-24 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
202,2006-02-25 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
203,2006-02-26 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
204,2006-02-27 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
205,2006-02-28 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
206,2006-03-01 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
207,2006-03-02 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
208,2006-03-03 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
209,2006-03-04 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
210,2006-03-05 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
211,2006-03-06 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
212,2006-03-07 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
213,2006-03-08 00:00:00,"ID, Start, End, geometry, date, year",epsg:4326
